"Case ID","Activity","Start Date","End Date","Estimated value","Status","Resource"
"Case 1","Create","11.3.10 8:25","11.3.10 8:27","High","Draft","userP@staff.org"
"Case 1","Update","11.3.10 10:30","11.3.10 10:32","High","Draft","userP@staff.org"
"Case 1","Share","11.3.10 11:45","11.3.10 11:52","High","Proposal","userA@staff.org"
"Case 1","Update","11.3.10 12:45","11.3.10 12:49","High","Proposal","userA@staff.org"
"Case 1","Share","11.3.10 13:15","11.3.10 13:18","High","Proposal","userP@staff.org"
"Case 1","Update","13.3.10 11:41","13.3.10 11:51","High","Recommendation","userP@staff.org"
"Case 1","Share","18.3.10 10:54","18.3.10 11:01","High","Recommendation","userM@staff.org"
"Case 2","Create","25.3.10 17:09","25.3.10 17:13","Medium","Draft","userF@staff.org"
"Case 2","Update","25.3.10 17:16","25.3.10 17:18","Medium","Draft","userF@staff.org"
"Case 2","Update","26.3.10 8:36","26.3.10 8:40","Medium","Draft","userF@staff.org"
"Case 2","Share","28.3.10 11:49","28.3.10 11:50","Medium","Draft","userV@staff.org"
"Case 2","Share","28.3.10 12:20","18.3.10 12:23","Medium","Proposal","userD@staff.org"
"Case 2","Update","19.4.10 19:47","19.4.10 19:49","Medium","Proposal","userD@staff.org"
"Case 2","Update","21.4.10 8:32","21.4.10 8:32","Medium","Proposal","userV@staff.org"
"Case 2","Share","21.4.10 8:33","21.4.10 8:33","Medium","Proposal","userG@staff.org"
"Case 2","Update","27.4.10 11:29","27.4.10 11:30","Medium","Recommendation","userV@staff.org"
"Case 3","Create","27.3.10 8:09","27.3.10 8:11","Medium","Draft","userV@staff.org"
"Case 3","Update","29.3.10 9:28","29.3.10 9:29","Medium","Draft","userV@staff.org"
"Case 3","Update","30.3.10 10:13","30.3.10 10:15","Medium","Draft","userV@staff.org"
"Case 3","Share","4.4.10 7:49","4.4.10 7:50","Medium","Draft","userA@staff.org"
"Case 3","Share","7.4.10 8:06","7.4.10 8:13","Medium","Proposal","userD@staff.org"
"Case 3","Share","15.4.10 10:26","15.4.10 10:34","Medium","Proposal","userM@staff.org"
"Case 4","Create","4.3.10 7:35","4.3.10 7:46","Medium","Draft","userP@staff.org"
"Case 4","Update","4.3.10 7:53","4.3.10 7:55","Medium","Draft","userP@staff.org"
"Case 4","Share","8.3.10 11:16","8.3.10 11:18","Medium","Draft","userF@staff.org"
"Case 4","Update","11.3.10 11:15","11.3.10 11:19","Medium","Draft","userF@staff.org"
"Case 4","Share","14.3.10 17:53","14.3.10 17:56","Medium","Proposal","userF@staff.org"
"Case 4","Update","25.3.10 10:35","25.3.10 10:38","Medium","Proposal","userV@staff.org"
"Case 4","Update","26.3.10 14:08","26.3.10 8:04","Medium","Proposal","userV@staff.org"
"Case 4","Update","28.3.10 8:06","28.3.10 8:07","Medium","Proposal","userF@staff.org"
"Case 4","Share","28.3.10 8:07","28.3.10 8:08","Medium","Proposal","userF@staff.org"
"Case 4","Update","28.3.10 8:09","28.3.10 8:09","Medium","Recommendation","userF@staff.org"
"Case 4","Share","29.3.10 11:39","29.3.10 11:39","Medium","Recommendation","userP@staff.org"
"Case 5","Create","27.3.10 12:04","27.3.10 12:10","Low","Draft","userF@staff.org"
"Case 5","Update","4.4.10 9:34","4.4.10 9:34","Low","Draft","userF@staff.org"
"Case 5","Share","4.4.10 12:17","4.4.10 12:22","Low","Draft","userF@staff.org"
"Case 5","Update","22.4.10 8:30","22.4.10 8:31","Low","Draft","userM@staff.org"
"Case 5","Share","22.4.10 14:59","22.4.10 15:13","Low","Draft","userM@staff.org"
"Case 5","Update","28.4.10 10:04","28.4.10 10:09","Low","Draft","userH@staff.org"
"Case 5","Update","29.4.10 9:53","29.4.10 9:56","Low","Proposal","userV@staff.org"
"Case 5","Update","12.5.10 11:45","12.5.10 11:49","Low","Proposal","userH@staff.org"
"Case 5","Share","18.5.10 17:52","18.5.10 17:52","Low","Proposal","userF@staff.org"
"Case 5","Update","29.5.10 14:33","29.5.10 14:35","Low","Proposal","userF@staff.org"
"Case 5","Share","6.6.10 13:57","6.6.10 14:03","Low","Proposal","userP@staff.org"
"Case 6","Create","6.3.10 14:03","6.3.10 14:04","High","Draft","userF@staff.org"
"Case 6","Update","20.3.10 7:35","20.3.10 7:36","High","Draft","userF@staff.org"
"Case 6","Update","22.3.10 10:16","22.3.10 10:17","High","Draft","userF@staff.org"
"Case 6","Share","22.3.10 10:48","22.3.10 10:50","High","Proposal","userV@staff.org"
"Case 6","Share","26.3.10 13:21","26.3.10 13:22","High","Proposal","userD@staff.org"
"Case 6","Update","24.4.10 13:12","24.4.10 13:13","High","Proposal","userD@staff.org"
"Case 6","Update","25.4.10 11:46","25.4.10 11:56","High","Proposal","userV@staff.org"
"Case 6","Share","26.4.10 17:59","26.4.10 18:08","High","Proposal","userD@staff.org"
"Case 6","Update","27.4.10 15:16","27.4.10 15:17","High","Recommendation","userV@staff.org"
"Case 7","Create","20.3.10 14:26","20.3.10 14:27","Medium","Draft","userF@staff.org"
"Case 7","Update","25.3.10 15:19","25.3.10 15:22","Medium","Draft","userF@staff.org"
"Case 7","Update","28.3.10 11:40","28.3.10 11:47","Medium","Draft","userV@staff.org"
"Case 7","Share","28.3.10 12:03","28.3.10 12:04","Medium","Proposal","userV@staff.org"
"Case 7","Share","14.4.10 7:45","14.4.10 7:45","Medium","Proposal","userV@staff.org"
